"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 124.8","https://www.liveatc.net/play/rpll_app_124800.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ground","https://www.liveatc.net/play/rpll_gnd.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp T2","https://www.liveatc.net/play/rpll_ramp_t2.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp T3","https://www.liveatc.net/play/rpll_ramp1.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp T4","https://www.liveatc.net/play/rpll_ramp_t4.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp/Taxi 121.7","https://www.liveatc.net/play/rpll_ramp2.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Tower","https://www.liveatc.net/play/rpll.pls","",""
"Asia","Russia","Khabarovsk","","Khabarovsk Novy Airport","UHHH","KHV","UHHH Gnd/Twr/App/Radar/Control","https://www.liveatc.net/play/uhhh2.pls","",""
"Asia","Russia","Novosibirsk","","Tolmachevo Airport","UNNT","OVB","Ground/Tower/Approach/Radar/Misc","https://www.liveatc.net/play/unnt.pls","",""
"Asia","Russia","Tyumen","","Roshchino International Airport","USTR","TJM","USTR Gnd/Twr/App","https://www.liveatc.net/play/ustr.pls","",""
"Asia","Singapore","Singapore","","Changi International Airport","WSSS","SIN","Delivery/Ground/Approach/Radar","https://www.liveatc.net/play/wsss3.pls","",""
"Asia","Taiwan","Kaohsiung","","Kaohsiung International Airport","RCKH","KHH","RCKH Del/Gnd/Twr/App","https://www.liveatc.net/play/rckh2.pls","",""
"Asia","Taiwan","Taipei","","Taipei Songshan Airport","RCSS","TSA","Tower/Approach/Departure","https://www.liveatc.net/play/rcss2.pls","",""
"Europe","Bulgaria","Sofia","","Sofia International Airport","LBSF","SOF","Tower/Approach #2","https://www.liveatc.net/play/lbsf1.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","Tower/Approach","https://www.liveatc.net/play/eetn2_twr.pls","",""
"Europe","Finland","Helsinki","","Helsinki-Vantaa Airport","EFHK","HEL","Tower (22L/04R 15/33)","https://www.liveatc.net/play/efhk2_twr1.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Approach","https://www.liveatc.net/play/lhbp_app2.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Approach (Director)","https://www.liveatc.net/play/lhbp_dir.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP ATIS","https://www.liveatc.net/play/lhbp_atis.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Clearance Delivery","https://www.liveatc.net/play/lhbp_del.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Ground","https://www.liveatc.net/play/lhbp_gnd.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Info","https://www.liveatc.net/play/lhbp1_2.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Tower (Backup)","https://www.liveatc.net/play/lhbp_twr2.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Tower #2","https://www.liveatc.net/play/lhbp_twr3.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Twr/Info","https://www.liveatc.net/play/lhbp1.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Control (East/West)","https://www.liveatc.net/play/lhbp_app_e.pls","",""
"Europe","Ireland","Charlestown","","Ireland West Airport Knock","EIKN","NOC","EIKN Gnd/Twr/App","https://www.liveatc.net/play/eikn2.pls","",""
"Europe","Ireland","Cork","","Cork Airport","EICK","ORK","EICK Gnd/Twr/App/Dep","https://www.liveatc.net/play/eick4_gta.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW Gnd/Twr/App/Centre","https://www.liveatc.net/play/eidw8.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW London Control (North Sea)","https://www.liveatc.net/play/eidw9_ctr_n.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW Scottish Control (STAFA)","https://www.liveatc.net/play/eidw9_sc_stafa.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW Tower (North/South)/App","https://www.liveatc.net/play/eidw82.pls","",""
"Europe","Lithuania","Vilnius","","Vilnius International Airport","EYVI","VNO","Tower/Approach/Misc","https://www.liveatc.net/play/eyvi.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","Dutch Mil Radar","https://www.liveatc.net/play/ehle_dutchmil.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar (124.230)","https://www.liveatc.net/play/eham_rdr_124230.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar ARTIP","https://www.liveatc.net/play/eham_rdr_120555.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar East Outbound","https://www.liveatc.net/play/eham_rdr_e_out.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar Northwest","https://www.liveatc.net/play/eham_rdr_nw.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar RIVER","https://www.liveatc.net/play/eham_rdr_127780.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar South","https://www.liveatc.net/play/eham_rdr_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar SUGOL","https://www.liveatc.net/play/eham_rdr_118805.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (118.080)","https://www.liveatc.net/play/eham_app_118080.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (119.055)","https://www.liveatc.net/play/eham_app_119055.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (121.205)","https://www.liveatc.net/play/eham_app_121205.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Apron Control (North)","https://www.liveatc.net/play/eham_apron_n.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Apron Control (South)","https://www.liveatc.net/play/eham_apron_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Arrival","https://www.liveatc.net/play/eham_arr_118405.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM ATIS (Arrival)","https://www.liveatc.net/play/eham_atis_arr.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM ATIS (Departure)","https://www.liveatc.net/play/eham_atis_dep.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Clearance Delivery","https://www.liveatc.net/play/eham_del.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Emergency/Guard","https://www.liveatc.net/play/eham_guard.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 06/24)","https://www.liveatc.net/play/eham_gnd_0624.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 18C/36C)","https://www.liveatc.net/play/eham_gnd_18c36c.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 18R)","https://www.liveatc.net/play/eham_gnd_18r.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwys 04/22 09/27 18L/36R)","https://www.liveatc.net/play/eham_gnd_0422092718l36r.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (North)","https://www.liveatc.net/play/eham_info_n.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (Over Land)","https://www.liveatc.net/play/eham_info_land.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Info North Sea (South)","https://www.liveatc.net/play/eham_info_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Outbound Planner","https://www.liveatc.net/play/eham_planner.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 06/24)","https://www.liveatc.net/play/eham_twr_0624.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 18C/36C)","https://www.liveatc.net/play/eham_twr_18c36c.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Tower (Rwy 18R/36L)","https://www.liveatc.net/play/eham_twr_18r36l.pls","",""
