"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Asia","Russia","Novosibirsk","","Tolmachevo Airport","UNNT","OVB","UNNT Gnd/Twr/App/Radar/Misc","https://www.liveatc.net/play/unnt.pls","",""
"Asia","Singapore","Singapore","","Changi International Airport","WSSS","SIN","WSSS Del/Gnd/App/Radar","https://www.liveatc.net/play/wsss3.pls","",""
"Asia","Taiwan","Kaohsiung","","Kaohsiung International Airport","RCKH","KHH","RCKH Del/Gnd/Twr/App","https://www.liveatc.net/play/rckh2.pls","https://youtu.be/iYCfNQSCqwY",""
"Asia","Taiwan","Taipei","","Taipei Songshan Airport","RCSS","TSA","RCSS Tower/App/Dep","https://www.liveatc.net/play/rcss2.pls","",""
"Europe","Bulgaria","Burgas","","Burgas International Airport","LBBG","BOJ","LBBG Twr/App","https://www.liveatc.net/play/lbbg2.pls","","LBWN"
"Europe","Bulgaria","Plovdiv","","Plovdiv International Airport","LBPD","PDV","LBPD Tower","https://www.liveatc.net/play/lbsf2_lbpd_twr.pls","",""
"Europe","Bulgaria","Sofia","","Sofia International Airport","LBSF","SOF","LBSF Twr/App #2","https://www.liveatc.net/play/lbsf1.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","EETN ATIS","https://www.liveatc.net/play/eetn2_atis.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","EETN Radar","https://www.liveatc.net/play/eetn2_radar.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","EETN Tower","https://www.liveatc.net/play/eetn2_twr.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","Tallinn Control (W11)","https://www.liveatc.net/play/eetn3_w11_134325.pls","",""
"Europe","Estonia","Tallinn","","Tallinn Airport","EETN","TLL","Tallinn Control (W12)","https://www.liveatc.net/play/eetn3_w12_127175.pls","",""
"Europe","Greece","Skiathos","","Skiathos International Airport","LGSK","JSI","LGSK Twr/App/ACC","https://www.liveatc.net/play/lgav2.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Approach (Director)","https://www.liveatc.net/play/lhbp_dir_119510.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Approach #1","https://www.liveatc.net/play/lhbp_app_122980.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Approach #2","https://www.liveatc.net/play/lhbp_app_123860.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP ATIS","https://www.liveatc.net/play/lhbp_atis.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Clearance Delivery #1","https://www.liveatc.net/play/lhbp_del_134540.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Clearance Delivery #2","https://www.liveatc.net/play/lhbp_del.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Ground #1","https://www.liveatc.net/play/lhbp_gnd_121905.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Ground #2","https://www.liveatc.net/play/lhbp_gnd.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Info #1","https://www.liveatc.net/play/lhbp_info_119350.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Info #2","https://www.liveatc.net/play/lhbp1_2.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Tower (Backup)","https://www.liveatc.net/play/lhbp_twr_119980.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHBP Tower (Main)","https://www.liveatc.net/play/lhbp_twr_118715.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (118.465)","https://www.liveatc.net/play/lhbp_ctl_118465.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (120.380)","https://www.liveatc.net/play/lhbp_ctl_120380.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (120.465)","https://www.liveatc.net/play/lhbp_ctl_120465.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (127.860)","https://www.liveatc.net/play/lhbp_ctl_127860.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (132.790)","https://www.liveatc.net/play/lhbp_ctl_132790.pls","",""
"Europe","Hungary","Budapest","","Budapest Ferihegy International Airport","LHBP","BUD","LHCC Budapest Control (136.215)","https://www.liveatc.net/play/lhbp_ctl_136215.pls","",""
"Europe","Hungary","Debrecen","","Debrecen Airport","LHDC","DEB","LHDC Info/Tower","https://www.liveatc.net/play/lhdc.pls","",""
"Europe","Ireland","Charlestown","","Ireland West Airport Knock","EIKN","NOC","EIKN Gnd/Twr/App","https://www.liveatc.net/play/eikn2.pls","",""
"Europe","Ireland","Cork","","Cork Airport","EICK","ORK","EICK Gnd/Twr/App/Dep","https://www.liveatc.net/play/eick4_gta.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW Gnd/Twr/App/Centre","https://www.liveatc.net/play/eidw8.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","EIDW Tower (North/South)/App","https://www.liveatc.net/play/eidw82.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","London Control (North Sea)","https://www.liveatc.net/play/eidw9_ctr_n.pls","",""
"Europe","Ireland","Dublin","","Dublin International Airport","EIDW","DUB","Scottish Control (STAFA)","https://www.liveatc.net/play/eidw9_sc_stafa.pls","",""
"Europe","Ireland","Shannon","","Shannon Airport","EINN","SNN","EINN Shannon Control High (East)","https://www.liveatc.net/play/einn2_high1.pls","",""
"Europe","Ireland","Shannon","","Shannon Airport","EINN","SNN","EINN Shannon Control High (West/Coastal)","https://www.liveatc.net/play/einn2_high2.pls","",""
"Europe","Ireland","Shannon","","Shannon Airport","EINN","SNN","EINN Shannon Control Low","https://www.liveatc.net/play/einn2_low1.pls","",""
"Europe","Ireland","Shannon","","Shannon Airport","EINN","SNN","EINN Twr/App #1","https://www.liveatc.net/play/einn2.pls","",""
"Europe","Latvia","Riga","Riga","Spilve Aerodrome","EVRS","","Spilve CTAF","https://www.liveatc.net/play/evra1_spilve_atz.pls","","EVRA"
"Europe","Latvia","Riga","","Riga International Airport","EVRA","RIX","EVRA Approach","https://www.liveatc.net/play/evra1_app.pls","",""
"Europe","Latvia","Riga","","Riga International Airport","EVRA","RIX","EVRA ATIS","https://www.liveatc.net/play/evra1_atis.pls","",""
"Europe","Latvia","Riga","","Riga International Airport","EVRA","RIX","EVRA FIC","https://www.liveatc.net/play/evra1_fic.pls","",""
"Europe","Latvia","Riga","","Riga International Airport","EVRA","RIX","EVRA Tower","https://www.liveatc.net/play/evra1_twr.pls","",""
"Europe","Latvia","Riga","","Riga International Airport","EVRA","RIX","EVRA Tower/Guard","https://www.liveatc.net/play/evra1_twr_guard.pls","",""
"Europe","Lithuania","Vilnius","","Vilnius International Airport","EYVI","VNO","EYVI App/Dep","https://www.liveatc.net/play/eyvi2_app.pls","",""
"Europe","Lithuania","Vilnius","","Vilnius International Airport","EYVI","VNO","EYVI Twr/App/Misc","https://www.liveatc.net/play/eyvi.pls","",""
"Europe","Moldova","Chisinau","","Chisinau International Airport","LUKK","KIV","LUKK Approach #2","https://www.liveatc.net/play/lukk_app.pls","",""
"Europe","Netherlands","Texel","North-Holland","Texel Airport","EHTX","","EHTX Radio","https://www.liveatc.net/play/ehtx2.pls","","EHKD"
"Europe","Netherlands","Middelburg","Zeeland","Midden-Zeeland Airport","EHMZ","","EHMZ","https://www.liveatc.net/play/ehmz2.pls","","EHFS"
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar (124.230)","https://www.liveatc.net/play/eham_rdr_124230.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar ARTIP","https://www.liveatc.net/play/eham_rdr_120555.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar East Outbound","https://www.liveatc.net/play/eham_rdr_e_out.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar Northwest","https://www.liveatc.net/play/eham_rdr_nw.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar RIVER","https://www.liveatc.net/play/eham_rdr_127780.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar South","https://www.liveatc.net/play/eham_rdr_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar Southwest","https://www.liveatc.net/play/eham_rdr_sw.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAA Radar SUGOL","https://www.liveatc.net/play/eham_rdr_118805.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (118.080)","https://www.liveatc.net/play/eham_app_118080.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (119.055)","https://www.liveatc.net/play/eham_app_119055.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM App/Dep (121.205)","https://www.liveatc.net/play/eham_app_121205.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Apron Control (North)","https://www.liveatc.net/play/eham_apron_n.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Apron Control (South)","https://www.liveatc.net/play/eham_apron_s.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Arrival","https://www.liveatc.net/play/eham_arr_126680.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Arrival","https://www.liveatc.net/play/eham_arr_118405.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM ATIS (Arrival)","https://www.liveatc.net/play/eham_atis_arr.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM ATIS (Departure)","https://www.liveatc.net/play/eham_atis_dep.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Clearance Delivery","https://www.liveatc.net/play/eham_del.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Company Channels","https://www.liveatc.net/play/eham_co.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Emergency/Guard","https://www.liveatc.net/play/eham_guard.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 06/24)","https://www.liveatc.net/play/eham_gnd_0624.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 18C/36C)","https://www.liveatc.net/play/eham_gnd_18c36c.pls","",""
"Europe","Netherlands","Amsterdam","","Schiphol International Airport","EHAM","AMS","EHAM Ground (Rwy 18R)","https://www.liveatc.net/play/eham_gnd_18r.pls","",""
